id,posted_date,posted_year,title,work_types,publication_classes,themes,product,center,source_byline,contributors,contributor_role,authors_roster_matched,roster_match_count,pdf,url
45239,2026-04-02,2026,MAP Growth technical report,Technical report,Technical / psychometric,Item response theory; Measurement & scaling; Test design,MAP Growth,Measurement & Psychometrics,"Patrick Meyer, Janice Johnson, Xueming (Sylvia) Li, Ann Hu, Carmen Hall",Patrick Meyer; Janice Johnson; Xueming (Sylvia) Li; Ann Hu; Carmen Hall,author,Patrick Meyer; Xueming (Sylvia) Li; Ann Hu,3,https://www.nwea.org/uploads/MAP-Growth-Technical-Report-2025.pdf,https://www.nwea.org/research/publication/map-growth-technical-report/
93462,2026-03-23,2026,Kindergarten redshirting: What families should know,Guide,Practitioner guide,Early learning; Growth,MAP Growth,NWEA Research,"Megan Kuhfeld, Sofia Postell",Megan Kuhfeld; Sofia Postell,author,Megan Kuhfeld; Sofia Postell,2,https://www.nwea.org/uploads/kindergarten-readshirting-what-famillies-should-know_NWEA_oneSheet.pdf,https://www.nwea.org/research/publication/kindergarten-redshirting-what-families-should-know/
93460,2026-03-23,2026,Technical Appendix: Should kindergartners be redshirted? Costs likely outweigh academic benefits,Technical brief,Technical / psychometric,Early learning; Growth,MAP Growth,NWEA Research,"Megan Kuhfeld, Sofia Postell",Megan Kuhfeld; Sofia Postell,author,Megan Kuhfeld; Sofia Postell,2,https://www.nwea.org/uploads/Tech-appendix_redshirting_update_2026.pdf,https://www.nwea.org/research/publication/technical-appendix-should-kindergartners-be-redshirted-costs-likely-outweigh-academic-benefits/
93376,2026-03-23,2026,Should kindergartners be redshirted? Costs likely outweigh academic benefits,Research brief,Report / brief,Early learning; Growth,MAP Growth,NWEA Research,"Megan Kuhfeld, Sofia Postell",Megan Kuhfeld; Sofia Postell,author,Megan Kuhfeld; Sofia Postell,2,https://www.nwea.org/uploads/should-kindergarteners-be-redshirted-costs-likely-outweigh-academic-benefits_NWEA_rsearchBrief.pdf,https://www.nwea.org/research/publication/should-kindergartners-be-redshirted-costs-likely-outweigh-academic-benefits/
93249,2026-03-10,2026,"Trend Snapshots: COVID-19 recovery in K–2, positive recovery trends",Research brief,Report / brief,COVID-19 & schools; Growth; Seasonal learning patterns & summer loss,MAP Growth,General,"Karyn Lewis, Megan Kuhfeld",Karyn Lewis; Megan Kuhfeld,author,Karyn Lewis; Megan Kuhfeld,2,https://www.nwea.org/uploads/covid-19-recovery-in-k-2-positive-recovery-trends_NWEA_trend-snapshots.pdf,https://www.nwea.org/research/publication/trend-snapshots-covid-19-recovery-in-k-2-positive-recovery-trends/
93103,2026-02-23,2026,Tech Appendix for “From loss to recovery: Diverging paths and uneven gains across schools”,Technical brief,Technical / psychometric,COVID-19 & schools; Growth; High-growth schools & practices; Seasonal learning patterns & summer loss,,NWEA Research,"Emily Morton, Megan Kuhfeld, Ayesha K. Hashim, Scott J. Peters",Emily Morton; Megan Kuhfeld; Ayesha K. Hashim; Scott J. Peters,author,Emily Morton; Megan Kuhfeld; Ayesha K. Hashim; Scott J. Peters,4,https://www.nwea.org/uploads/recoveryoutliers_appendix_formatted_pdf.pdf,https://www.nwea.org/research/publication/tech-appendix-for-from-loss-to-recovery-diverging-paths-and-uneven-gains-across-schools/
93100,2026-02-23,2026,From loss to recovery: Diverging paths and uneven gains across schools,Research brief,Report / brief,COVID-19 & schools; Growth; High-growth schools & practices; Seasonal learning patterns & summer loss,,NWEA Research,"Emily Morton, Megan Kuhfeld, Ayesha K. Hashim, Scott J. Peters",Emily Morton; Megan Kuhfeld; Ayesha K. Hashim; Scott J. Peters,author,Emily Morton; Megan Kuhfeld; Ayesha K. Hashim; Scott J. Peters,4,https://www.nwea.org/uploads/From-loss-to-recovery-diverring-paths-and-uneven-gains-across-schools_NWEA_researchBrief.pdf,https://www.nwea.org/research/publication/from-loss-to-recovery-diverging-paths-and-uneven-gains-across-schools/
45074,2026-02-10,2026,MAP Growth Goal Explorer User’s Guide and FAQ,Guide,Practitioner guide,Empowering educators; Innovations in reporting & assessment,,NWEA Research,,,author,,0,https://www.nwea.org/uploads/MAP-Growth-goal-explorer-user-guide-and-FAQ_NWEA_guide.pdf,https://www.nwea.org/research/publication/map-growth-goal-explorer-users-guide/
92338,2026-01-12,2026,Lessons in resilience: A playbook for recovery from natural disasters,Research brief,Report / brief,COVID-19 & schools; Growth; Seasonal learning patterns & summer loss,,NWEA Research,"Megan Kuhfeld, James Soland",Megan Kuhfeld; James Soland,author,Megan Kuhfeld,1,https://www.nwea.org/uploads/lessons-in-resilience-a-playbook-for-recovery-from-natural-disasters_NWEA_rresearchBrief.pdf,https://www.nwea.org/research/publication/lessons-in-resilience-a-playbook-for-recovery-from-natural-disasters/
92120,2025-12-18,2025,Post-Pandemic School Closure Trends: Schools Serving Black Students Disproportionately Closed,White paper,Report / brief,COVID-19 & schools; Growth,,NWEA Research,"Jazmin Isaacs, Megan Kuhfeld, Sofia Postell, Ayesha K. Hashim",Jazmin Isaacs; Megan Kuhfeld; Sofia Postell; Ayesha K. Hashim,author,Jazmin Isaacs; Megan Kuhfeld; Sofia Postell; Ayesha K. Hashim,4,https://www.nwea.org/uploads/school_closures_white_paper_NWEA_2025.pdf,https://www.nwea.org/research/publication/post-pandemic-school-closure-trends-schools-serving-black-students-disproportionately-closed/
92014,2025-12-03,2025,School’s in for Summer: A Scalable and Effective Post-Pandemic Academic Intervention,Research brief,Report / brief,COVID-19 & schools; Growth; Seasonal learning patterns & summer loss,,,"Emily Morton, Dan Goldhaber, Andrew McEachin, Thomas J. Kane",Emily Morton; Dan Goldhaber; Andrew McEachin; Thomas J. Kane,author,Emily Morton,1,https://www.nwea.org/uploads/schools-in-for-summer-a-scalable-and-effective-post-pandemic-academic-intervention_NWEA_brief.pdf,https://www.nwea.org/research/publication/schools-in-for-summer-a-scalable-and-effective-post-pandemic-academic-intervention/
91624,2025-11-20,2025,Technical Appendix: Unequal Access to 8th-Grade Algebra: How School Offerings and Placement Practices Limit Opportunity,Technical brief,Technical / psychometric,College & career readiness; Equity; Math & STEM,MAP Growth,NWEA Research,"Daniel Long, Megan Kuhfeld, Scott J. Peters",Daniel Long; Megan Kuhfeld; Scott J. Peters,author,Daniel Long; Megan Kuhfeld; Scott J. Peters,3,https://www.nwea.org/uploads/Tech_Appendix_Accessto8thgradealgebra_2025.pdf,https://www.nwea.org/research/publication/technical-appendix-unequal-access-to-8th-grade-algebra-how-school-offerings-and-placement-practices-limit-opportunity/
91623,2025-11-17,2025,Unequal Access to 8th-Grade Algebra: How School Offerings and Placement Practices Limit Opportunity,Research brief,Report / brief,College & career readiness; Equity; Math & STEM,,NWEA Research,"Daniel Long, Megan Kuhfeld, Scott J. Peters",Daniel Long; Megan Kuhfeld; Scott J. Peters,author,Daniel Long; Megan Kuhfeld; Scott J. Peters,3,https://www.nwea.org/uploads/unequal-access-to-eight-grade-algebra-how-school-offerings-and-placement-practices-limit-opportunity_NWEA_researchBrief.pdf,https://www.nwea.org/research/publication/unequal-access-to-8th-grade-algebra-how-school-offerings-and-placement-practices-limit-opportunity/
91159,2025-11-10,2025,Technical Appendix: MAP Growth Specialty School National Dashboard,Technical report,Technical / psychometric,Growth,MAP Growth,General,"Megan Kuhfeld, Daniel Long, Karyn Lewis",Megan Kuhfeld; Daniel Long; Karyn Lewis,author,Megan Kuhfeld; Daniel Long; Karyn Lewis,3,https://www.nwea.org/uploads/Technical-Appendix-for-MAP-Growth-Specialty-School-National-Dashboard_NOV-2025.pdf,https://www.nwea.org/research/publication/technical-appendix-map-growth-specialty-school-national-dashboard/
91008,2025-10-22,2025,"Hot test days, lower math scores: How heat affects student achievement",Research brief,Report / brief,Growth; Seasonal learning patterns & summer loss,MAP Growth,General,"Sofia Postell, Megan Kuhfeld, Susan Kowalski, Jazmin Isaacs",Sofia Postell; Megan Kuhfeld; Susan Kowalski; Jazmin Isaacs,author,Sofia Postell; Megan Kuhfeld; Susan Kowalski; Jazmin Isaacs,4,https://www.nwea.org/uploads/hot-test-days-lower-math-scores-how-heat-affects-student-achievement_NWEA_researchBrief.pdf,https://www.nwea.org/research/publication/hot-test-days-lower-math-scores-how-heat-affects-student-achievement/
90987,2025-10-22,2025,"Technical appendix for “Hot test days, lower math scores: How heat affects student achievement”",Technical brief,Technical / psychometric,Growth; Seasonal learning patterns & summer loss,MAP Growth,General,"Sofia Postell, Megan Kuhfeld, Susan Kowalski, Jazmin Isaacs",Sofia Postell; Megan Kuhfeld; Susan Kowalski; Jazmin Isaacs,author,Sofia Postell; Megan Kuhfeld; Susan Kowalski; Jazmin Isaacs,4,https://www.nwea.org/uploads/Tech-appendix_Heat_Learning_Research_Brief_2025_final.pdf,https://www.nwea.org/research/publication/technical-appendix-for-hot-test-days-lower-math-scores-how-heat-affects-student-achievement/
92197,2025-10-21,2025,Introducing the MAP Growth National Dashboard: Your real-time companion to MAP Growth norms,Blog article,Blog / web,Assessment,MAP Growth,NWEA Research,Karyn Lewis,Karyn Lewis,author,Karyn Lewis,1,,https://www.nwea.org/research/publication/introducing-the-map-growth-national-dashboard-your-real-time-companion-to-map-growth-norms/
91005,2025-10-20,2025,MAP Growth National Dashboard,Data visualization,Blog / web,COVID-19 & schools; Equity; Growth,MAP Growth,General,,,author,,0,,https://www.nwea.org/research/publication/map-growth-national-dashboard/
90885,2025-10-13,2025,"Trend Snapshots: Math Recovery Continues, Reading Remains Stalled in Spring 2025",Research brief,Report / brief,COVID-19 & schools; Growth,MAP Growth,General,"Karyn Lewis, Megan Kuhfeld",Karyn Lewis; Megan Kuhfeld,author,Karyn Lewis; Megan Kuhfeld,2,https://www.nwea.org/uploads/Math-recovery-continues-reading-stalled-in-spring-2025_NWEA_trendSnapshots.pdf,https://www.nwea.org/research/publication/trend-snapshots-math-recovery-continues-reading-remains-stalled-in-spring-2025/
90837,2025-10-13,2025,User Guide and FAQ: MAP Growth National Dashboard,Guide,Practitioner guide,Growth,MAP Growth,General,"Emily Morton, Karyn Lewis, Megan Kuhfeld",Emily Morton; Karyn Lewis; Megan Kuhfeld,author,Emily Morton; Karyn Lewis; Megan Kuhfeld,3,https://www.nwea.org/uploads/MAP-Growth-National-Dashboard-user-guide-and-faq_NWEA_guide.pdf,https://www.nwea.org/research/publication/user-guide-and-faq-map-growth-national-dashboard/
90640,2025-10-13,2025,Technical Appendix: MAP Growth National Dashboard,Guide; Technical brief,Technical / psychometric; Practitioner guide,Growth,MAP Growth,,"Karyn Lewis, Megan Kuhfeld",Karyn Lewis; Megan Kuhfeld,author,Karyn Lewis; Megan Kuhfeld,2,https://www.nwea.org/uploads/Dashboard-technical-brief_final_025.pdf,https://www.nwea.org/research/publication/technical-appendix-map-growth-national-dashboard/
45067,2025-10-01,2025,Specialty Schools National Dashboard,Data visualization,Blog / web,COVID-19 & schools; Equity; Growth,MAP Growth,General,,,author,,0,,https://www.nwea.org/research/publication/achievement-and-growth-tables-for-private-schools/
92181,2025-09-09,2025,Responsive leadership in crisis: Lessons from the pandemic for education leaders,Blog article,Blog / web,COVID-19 & schools; School leadership,,NWEA Research,Ayesha K. Hashim,Ayesha K. Hashim,author,Ayesha K. Hashim,1,,https://www.nwea.org/research/publication/responsive-leadership-in-crisis-lessons-from-the-pandemic-for-education-leaders/
45065,2025-08-31,2025,MAP Growth Goal Explorer,Data visualization,Blog / web,Equity; Growth,MAP Growth,NWEA Research,,,author,,0,,https://www.nwea.org/research/publication/map-growth-goal-explorer/
92185,2025-08-29,2025,Reimagining family engagement: A long-term strategy for COVID recovery,Blog article,Blog / web,COVID-19 & schools,,NWEA Research,Ayesha K. Hashim,Ayesha K. Hashim,author,Ayesha K. Hashim,1,,https://www.nwea.org/research/publication/reimagining-family-engagement-a-long-term-strategy-for-covid-recovery/
92199,2025-08-28,2025,Getting precise: Why instructional time matters for fair comparisons of student achievement,Blog article,Blog / web,Assessment,MAP Growth,NWEA Research,Karyn Lewis,Karyn Lewis,author,Karyn Lewis,1,,https://www.nwea.org/research/publication/getting-precise-why-instructional-time-matters-for-fair-comparisons-of-student-achievement/
89883,2025-08-25,2025,The Impact of Severe Weather Events on Education: Revisiting Hurricane Katrina While Preparing for the Next Disaster,Research brief,Report / brief,Growth; Seasonal learning patterns & summer loss,,General,"Megan Kuhfeld, Jim Soland, Sofia Postell",Megan Kuhfeld; James Soland; Sofia Postell,author,Megan Kuhfeld; Sofia Postell,2,https://www.nwea.org/uploads/The-impact-of-severe-weather-on-education-revisiting-hurricane-katrina-while-preparing-for-the-next-disaster_NWEA_researchBrief.pdf,https://www.nwea.org/research/publication/the-impact-of-severe-weather-events-on-education-revisiting-hurricane-katrina-while-preparing-for-the-next-disaster/
92201,2025-08-21,2025,Realistic vs. meaningful growth: Rethinking growth goals with 2025 MAP Growth norms,Blog article,Blog / web,Assessment,MAP Growth,NWEA Research,Karyn Lewis,Karyn Lewis,author,Karyn Lewis,1,,https://www.nwea.org/research/publication/realistic-vs-meaningful-growth-rethinking-growth-goals-with-2025-map-growth-norms/
92203,2025-08-14,2025,What can you do with the 2025 MAP Growth norms? Turning test results into action,Blog article,Blog / web,Assessment,MAP Growth,NWEA Research,Karyn Lewis,Karyn Lewis,author,Karyn Lewis,1,,https://www.nwea.org/research/publication/what-can-you-do-with-the-2025-map-growth-norms-turning-test-results-into-action/
92205,2025-08-07,2025,"Same scale, new reference: What’s new in the 2025 MAP Growth norms",Blog article,Blog / web,Assessment,MAP Growth,NWEA Research,Karyn Lewis,Karyn Lewis,author,Karyn Lewis,1,,https://www.nwea.org/research/publication/same-scale-new-reference-whats-new-in-the-2025-map-growth-norms/
92195,2025-07-18,2025,Making sense of standard error of measurement,Blog article,Blog / web,Assessment,MAP Growth,NWEA Research,Emily Morton,Emily Morton,author,Emily Morton,1,,https://www.nwea.org/research/publication/making-sense-of-standard-error-of-measurement/
88220,2025-07-09,2025,What the research tells us about four-day school weeks,Blog article,Blog / web,School leadership,,NWEA Research,Emily Morton,Emily Morton,author,Emily Morton,1,,https://www.nwea.org/research/publication/what-the-research-tells-us-about-four-day-school-weeks/
88219,2025-07-09,2025,3 academic interventions policymakers can support to help get students back on track ,Blog article,Blog / web,COVID-19 & schools,,NWEA Research,Emily Morton,Emily Morton,author,Emily Morton,1,,https://www.nwea.org/research/publication/3-academic-interventions-policymakers-can-support-to-help-get-students-back-on-track/
92187,2025-06-13,2025,Every school has advanced learners. Use local norms to find them,Blog article,Blog / web,School leadership,MAP Growth,NWEA Research,Scott J. Peters,Scott J. Peters,author,Scott J. Peters,1,,https://www.nwea.org/research/publication/every-school-has-advanced-learners-use-local-norms-to-find-them/
87372,2025-06-09,2025,Family engagement as a long-term strategy for continued COVID recovery,Research report,Report / brief,COVID-19 & schools; Equity; Growth; Guidance,,General,"Ayesha K. Hashim, Rebecca Johnson, Rachel Perera",Ayesha K. Hashim; Rebecca Johnson; Rachel Perera,author,Ayesha K. Hashim,1,https://www.nwea.org/uploads/family-engagement-as-a-long-term-strategy-for-continued-covid-recovery_NWEA_researchBrief.pdf,https://www.nwea.org/research/publication/family-engagement-as-a-long-term-strategy-for-continued-covid-recovery/
86153,2025-05-12,2025,Technical appendix for “Boys regain the advantage in middle school STEM skills: Post-COVID trends in gender achievement gaps”,Technical brief,Technical / psychometric,COVID-19 & schools; Equity; Growth; Math & STEM,MAP Growth,General,"Megan Kuhfeld, Karyn Lewis, Gustave Robinson",Megan Kuhfeld; Karyn Lewis; Gustave Robinson,author,Megan Kuhfeld; Karyn Lewis; Gustave Robinson,3,https://www.nwea.org/uploads/NWEA_achievement_GenderGaps_Tech-appendix_April2025.pdf,https://www.nwea.org/research/publication/technical-appendix-for-boys-regain-the-advantage-in-middle-school-stem-skills-post-covid-trends-in-gender-achievement-gaps/
86152,2025-05-12,2025,Boys regain the advantage in middle school STEM skills: Post-COVID trends in gender achievement gaps,Research brief,Report / brief,COVID-19 & schools; Equity; Growth; Math & STEM,MAP Growth,General,"Megan Kuhfeld, Karyn Lewis, Gustave Robinson",Megan Kuhfeld; Karyn Lewis; Gustave Robinson,author,Megan Kuhfeld; Karyn Lewis; Gustave Robinson,3,https://www.nwea.org/uploads/boys-regain-the-advantage-in-middle-school-steam-skills-post-covid-trends-in-gender-achievement-gaps_NWEA_researchBrief.pdf,https://www.nwea.org/research/publication/boys-regain-the-advantage-in-middle-school-stem-skills-post-covid-trends-in-gender-achievement-gaps/
45246,2025-04-16,2025,Spanish MAP Reading Fluency content guide,Technical report,Technical / psychometric,Assessments in Spanish; Test design,MAP Reading Fluency; MAP Spanish,Measurement & Psychometrics,"John Newburn, Sara Velazquez, Fang Peng, Carmen Hall, Kayla McLaughlin, Teresa Krastel",John Newburn; Sara Velazquez; Fang Peng; Carmen Hall; Kayla McLaughlin; Teresa Krastel,author,Fang Peng,1,https://www.nwea.org/uploads/Spanish-MAP-Reading-Fluency-Content-Guide_March2025.pdf,https://www.nwea.org/research/publication/spanish-map-reading-fluency-content-guide/
84325,2025-02-25,2025,Practitioner’s Guide to Integrating Literacy and Science,Guide,Practitioner guide,Equity; Growth; Informing instruction; Math & STEM,MAP Growth,,"Scott J. Peters, Susan Kowalski, Ayesha K. Hashim",Scott J. Peters; Susan Kowalski; Ayesha K. Hashim,author,Scott J. Peters; Susan Kowalski; Ayesha K. Hashim,3,https://www.nwea.org/uploads/Practitioners-guide-to-integrating-literacy-and-science_NWEA_guide-1.pdf,https://www.nwea.org/research/publication/practitioners-guide-to-integrating-literacy-and-science/
